Heading A	Heading B	Heading C	Heading D	url A	url B	url C	url D	Long_Name	Short_Name	Units	Static_colourbar_url	Dynamic_colourbar_url	delta_t(yy/mm/dd/hr/mn/ss)
Cloud	Fraction	night	3	_ims_metopc_tir_qnrt_p3_	cfr	_night	_global_g0.5_qc0	"IMS-Cloud (CTF, 1night)"	Cld.Frac	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_cfr.png	empty	empty
Cloud	Height	night	3	_ims_metopc_tir_qnrt_p3_	cth	_night	_global_g0.5_qc0	"IMS-Cloud (CTh, 1night)"	Cld.Hgt	km	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_cth.png	empty	empty
CO	Total	day	3	_ims_metopc_tir_qnrt_p3_	c04	_day	_global_g0.5_qc0	"IMS-CO (Total Col, 1day)"	CO	xppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_c04.png	empty	empty
CO	0-6km	day	3	_ims_metopc_tir_qnrt_p3_	c02	_day	_global_g0.5_qc0	"IMS-CO (0-6km, 1day)"	CO	xppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_c02.png	empty	empty
CO	6-12km	day	3	_ims_metopc_tir_qnrt_p3_	c08	_day	_global_g0.5_qc0	"IMS-CO (6-12km, 1day)"	CO	xppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_c08.png	empty	empty
CO	Total	night	3	_ims_metopc_tir_qnrt_p3_	c04	_night	_global_g0.5_qc0	"IMS-CO (Total Col, 1night)"	CO	xppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_c04.png	empty	empty
CO	0-6km	night	3	_ims_metopc_tir_qnrt_p3_	c02	_night	_global_g0.5_qc0	"IMS-CO (0-6km, 1night)"	CO	xppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_c02.png	empty	empty
CO	6-12km	night	3	_ims_metopc_tir_qnrt_p3_	c08	_night	_global_g0.5_qc0	"IMS-CO (6-12km, 1night)"	CO	xppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_c08.png	empty	empty
HCOOH	Column_Average	day	3	_ims_metopc_tir_qnrt_p3_	hcooh	_day	_global_g0.5_qc0	IMS-HCOOH(1day)	HCOOH	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_hcooh.png	empty	empty
HCOOH	Column_Average	night	3	_ims_metopc_tir_qnrt_p3_	hcooh	_night	_global_g0.5_qc0	IMS-HCOOH(1night)	HCOOH	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_hcooh.png	empty	empty
HNO3	Column_Average	day	3	_ims_metopc_tir_qnrt_p3_	hno3	_day	_global_g0.5_qc0	IMS-HNO3 (1day)	HNO3	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_nh3.png	empty	empty
HNO3	Column_Average	night	3	_ims_metopc_tir_qnrt_p3_	hno3	_night	_global_g0.5_qc0	IMS-HNO3 (1night)	HNO3	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_nh3.png	empty	empty
NH3	Column_Average	day	3	_ims_metopc_tir_qnrt_p3_	nh3	_day	_global_g0.5_qc0	IMS-NH3 (1day)	NH3	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_nh3.png	empty	empty
